Constitution,Howard Phillips/Herbert Titus,"184,656",0.19%
Natural Law,John Hagelin/Mike Tompkins,"113,667",0.12%
party,Candidate,Votes,%
Republican,George W. Bush/Dick Cheney[note 5],"50,456,002",47.90%
Democratic,Al Gore/Joe Lieberman,"50,999,897",48.40%
Green,Ralph Nader/Winona LaDuke,"2,882,955",2.74%
Reform,Pat Buchanan/Ezola Foster,"448,895",0.43%
Libertarian,Harry Browne/Art Olivier,"384,431",0.36%
Constitution,Howard Phillips/Curtis Frazier,"98,020",0.09%
Natural Law,John Hagelin/Nat Goldhaber,"83,714",0.08%
party,Candidate,Votes,%
Republican,George W. Bush/Dick Cheney,"62,040,610",50.70%
Democratic,John Kerry/John Edwards,"59,028,444",48.30%
Democratic,John Edwards/John Edwards,5,<0.01%
Independent,Ralph Nader/Peter Camejo,"465,650",0.38%
Libertarian,Michael Badnarik/Richard Campagna,"397,265",0.32%
Constitution,Michael Peroutka/Chuck Baldwin,"143,630",0.12%
Green,David Cobb/Pat LaMarche,"119,859",0.10%
Peace and Freedom,Leonard Peltier/Janice Jordan,"27,607",0.02%
Socialist,Walt Brown/Mary Alice Herbert,"10,837",0.01%
Socialist Workers,Róger Calero/Arrin Hawkins,"3,689",0.01%
Christian Freedom Party,Thomas Harens/Jennifer A. Ryan,"2,387",0.00%
party,Candidate,Votes,%
Democratic,Barack Obama/Joe Biden,"69,498,516",52.90%
Republican,John McCain/Sarah Palin,"59,948,323",45.70%
Independent,Ralph Nader/Matt Gonzalez,"739,034",0.56%
Libertarian,Bob Barr/Wayne Allyn Root,"523,715",0.40%
Constitution,Chuck Baldwin/Darrell Castle,"199,750",0.15%
Green,Cynthia McKinney/Rosa Clemente,"161,797",0.12%
American Independent,Alan Keyes/Wiley Drake,"47,746",0.04%
,Candidate,Votes,%
Democratic,Barack Obama/Joe Biden,"65,915,795",51.10%
Republican,Mitt Romney/Paul Ryan,"60,933,504",47.20%
Libertarian,Gary Johnson/Jim Gray,"1,275,971",0.99%
Green,Jill Stein/Cheri Honkala,"469,627",0.36%
Constitution,Virgil Goode/James N. Clymer,"122,389",0.11%
Peace and Freedom,Roseanne Barr/Cindy Sheehan,"67,326",0.05%
Justice,Rocky Anderson/Luis J. Rodriguez,"43,018",0.03%
American Independent,Tom Hoefling/J.D. Ellis,"40,628",0.03%
party,Candidate,Votes,%
Republican,Donald Trump/Mike Pence[note 5],"62,984,828",46.09%
Democratic,Hillary Clinton/Tim Kaine,"65,844,610",48.18%
Libertarian,Gary Johnson/William Weld,"4,489,341",3.28%
Green,Jill Stein/Ajamu Baraka,"1,457,218",1.07%
Independent,Evan McMullin/Mindy Finn,"731,991",0.54%
Constitution,Darrell Castle/Scott Bradley,"203,090",0.15%
Socialism and Liberation,Gloria La Riva/Eugene Puryear,"74,401",0.05%
party,Candidate,Votes,%
Democratic,Joe Biden/Kamala Harris,"81,268,924",51.31%
Republican,Donald Trump/Mike Pence,"74,216,154",46.86%
Libertarian,Jo Jorgensen/Spike Cohen,"1,865,724",1.18%
Green,Howie Hawkins/Angela Walker,"405,035",0.26
